,Nom scientifique,Nom français,Code,Nom arabe,Noms vernaculaires,Origine géographique,Mois de débourrement,Période de croissance végétative,Période de floraison,Période de fructification,Période de maturité des fruits,Période de chute des feuilles,Type de feuillage,Division,Classe,Ordre,Famille,Genre,Type de plante,Hauteur moyenne ou maximale,Type de feuilles,Forme des feuilles,Bord des feuilles,Disposition des feuilles,Couleur des fleurs,Structure florale,Type de fruit,Type de racine,intérêts
espèce1,Vicia faba,Fève,Ang_Mag_Fab_Vic,فول,['Loubia beldia'],"['Moyen-Orient', 'Afrique du Nord']",Mars,Mars à Juin,Avril à Mai,Mai à Juillet,Juin à Juillet,Juillet,Caduc,Angiosperme,Magnoliopsida,Fabales,Fabaceae,Vicia,Herbacée,0.5 à 1.8 m,Composées,Ovales,Entier,Alterne,Blanc avec des taches noires,Papilionacée,Gousse,Pivotante,"['- Culinaire: Utilisée dans de nombreux plats traditionnels, les graines sont consommées fraîches, séchées ou en purée.', '- Agricole: Utilisée comme engrais vert pour enrichir le sol en azote.', '- Médicinal: Utilisée dans la médecine traditionnelle pour ses propriétés diurétiques et digestives.']"
espèce2,Salvia × lavandulacea,Sauge lavandulée,Ang_Dic_Lam_Sal,,,['Méditerranée'],Mars,Avril à septembre,Mai à juillet,Juillet à août,Août,Novembre,Persistant,Angiosperme,Dicotylédones,Lamiales,Lamiaceae,Salvia,Arbuste,0.5 à 1 mètre,Simple,Lancéolée,Denté,Opposée,Bleu lavande,Bilabiée,Akène,Fasciculée,"['- Ornemental: Utilisée dans les jardins pour ses fleurs attrayantes et son feuillage persistant.', '- Culinaire: Les feuilles peuvent être utilisées pour aromatiser des plats.']"
espèce3,Pittosporum heterophyllum,Pittospore à feuilles variables,Ang_Mag_Pit_Pit,,,"['Chine', 'Himalaya']",Mars à avril,Avril à septembre,Avril à mai,Juin à août,Août à septembre,,Persistant,Angiosperme,Magnoliopsida,Apiales,Pittosporaceae,Pittosporum,Arbuste,1 à 3 mètres,Simple,Ovale à lancéolée,Entier,Alternée,Jaune pâle,Petites fleurs en grappes,Capsule,Fasciculée,['- Ornemental: Utilisé dans les jardins pour ses feuilles persistantes et sa floraison parfumée.']
espèce4,Ficus elastica,Figuier caoutchouc,Ang_Mag_Mor_Fic,فيكس إيلاستيكا,,"['Inde', 'Indonésie', 'Népal', 'Bhoutan', 'Birmanie', 'Malaisie']",,Printemps à été,,,,,Persistant,Angiosperme,Magnoliopsida,Rosales,Moraceae,Ficus,Arbre,Jusqu'à 30 mètres dans son habitat naturel,Simple,Ovale à elliptique,Entier,Alterne,Inconspicue,Inflorescence en sycone,Sycone,Aérienne et adventive,"[""- Ornemental: Utilisé comme plante d'intérieur pour sa capacité à purifier l'air et son feuillage décoratif."", '- Industriel: Source de latex utilisé pour produire du caoutchouc.']"
espèce5,Pinus halepensis,Pin d'Alep,Gym_Pin_Pin_Pin,صنوبر حلبي,['زريبت'],"['Méditerranée', 'Espagne', 'France', 'Italie', 'Grèce', 'Maroc', 'Algérie', 'Tunisie']",Mars à avril,Avril à septembre,Avril à mai,Septembre à octobre,18 à 24 mois après la pollinisation,,Persistant,Gymnosperme,Pinopsida,Pinales,Pinaceae,Pinus,Arbre,15 à 25 mètres,Aiguilles,Aiguilles fines et longues,Lisse,Fasciculées par deux,"Jaune (mâle), rougeâtre (femelle)",Cônes unisexués,Cône,Pivotante avec racines latérales,"['- Ornemental: Utilisé dans les parcs et jardins pour sa résistance à la sécheresse et son aspect esthétique.', ""- Écologique: Joue un rôle important dans la stabilisation des sols et la prévention de l'érosion."", '- Industriel: Le bois est utilisé pour la fabrication de meubles et de charpentes.']"
espèce6,Argania spinosa,Arganier,Ang_Eud_Sap_Arg,الأركان,"['Targant', 'Aghram']","['Maroc', 'Algérie']",Mars à avril,Avril à septembre,Mai à juin,Juin à juillet,Juillet à août,Novembre à décembre,Persistant,Angiosperme,Eudicots,Sapotales,Sapotaceae,Argania,Arbre,8 à 10 mètres,Simple,Elliptique,Entier,Alternée,Jaune verdâtre,"Petites, en grappes",Drupe,Pivotante,"[""- Médicinal: L'huile d'argan est utilisée pour ses propriétés anti-inflammatoires et antioxydantes."", ""- Culinaire: L'huile d'argan est utilisée comme huile alimentaire, notamment dans la cuisine marocaine."", ""- Cosmétique: L'huile d'argan est utilisée dans les produits de soin pour la peau et les cheveux."", ""- Écologique: L'arganier joue un rôle important dans la lutte contre la désertification.""]"
espèce7,Myoporum laetum,Myoporum brillant,Ang_Mag_Scr_Myo,,,['Nouvelle-Zélande'],Mars,Printemps à été,Printemps à été,Été à automne,Automne,,Persistant,Angiosperme,Magnoliopsida,Lamiales,Scrophulariaceae,Myoporum,Arbuste,Jusqu'à 10 mètres,Simple,Lancéolée,Denté,Alternée,Blanc,Petites fleurs en grappes,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour son feuillage persistant et sa floraison attrayante.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les zones côtières.']"
espèce8,Pelargonium zonale,Géranium zonal,Ang_Mag_Ger_Pel,,,['Afrique du Sud'],Mars à avril,Printemps à été,Mai à septembre,Juillet à octobre,Août à octobre,Novembre à décembre,Persistant,Angiosperme,Magnoliopsida,Geraniales,Geraniaceae,Pelargonium,Arbuste,30 à 90 cm,Simple,Ronde à réniforme,Lobé,Alternée,"Rose, rouge, blanc, violet",Inflorescence en ombelle,Capsule,Fasciculée,"[""- Ornemental: Utilisé pour la décoration des jardins, balcons et terrasses en raison de ses fleurs colorées et de sa facilité d'entretien."", '- Médicinal: Utilisé en médecine traditionnelle pour ses propriétés antiseptiques et anti-inflammatoires.']"
espèce9,Kleinia neriifolia,Séneçon à feuilles de laurier,Ang_Mag_Ast_Kle,,,['Îles Canaries'],,Printemps à été,Hiver,Fin hiver à début printemps,,,Persistant,Angiosperme,Magnoliopsida,Asterales,Asteraceae,Kleinia,Arbuste,1 à 2 mètres,Simple,Lancéolée,Entier,Alternée,Jaune,Capitule,Akène,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour son aspect décoratif et sa résistance à la sécheresse.', ""- Écologique: Contribue à la biodiversité locale et offre un habitat pour certaines espèces d'insectes.""]"
espèce10,Lavandula dentata,Lavande dentée,Ang_Mag_Lam_Lav,الخزامى المسننة,,"['Méditerranée occidentale', 'Espagne', 'Portugal', 'Afrique du Nord']",Mars,Avril à septembre,Juin à août,Août à septembre,Septembre,,Persistant,Angiosperme,Magnoliopsida,Lamiales,Lamiaceae,Lavandula,Arbuste,0.6 à 1 mètre,Simple,Lancéolée,Denté,Opposée,Violet pâle,Épis,Akène,Fasciculée,"['- Ornemental: Utilisée dans les jardins pour ses fleurs attrayantes et son feuillage aromatique.', '- Médicinal: Utilisée en aromathérapie pour ses propriétés relaxantes et apaisantes.']"
espèce11,Rosa abietina,Rosier des sapins,Ang_Mag_Ros_Ros,,,"['Europe', 'Asie occidentale']",Avril,Avril à Septembre,Mai à Juillet,Août à Octobre,Septembre à Octobre,Octobre à Novembre,Caduc,Angiosperme,Magnoliopsida,Rosales,Rosaceae,Rosa,Arbuste,1 à 2 mètres,Composées,Ovale,Dentelé,Alternée,Rose,Simple,Cynorhodon,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses belles fleurs et son feuillage attrayant.', '- Écologique: Fournit un habitat et de la nourriture pour les insectes pollinisateurs et les oiseaux.']"
espèce13,Argyranthemum frutescens,Marguerite des Canaries,Ang_Mag_Ast_Arg,,,['Îles Canaries'],Mars,Mars à octobre,Avril à octobre,Juillet à octobre,Août à octobre,Novembre à février,Persistant,Angiosperme,Magnoliopsida,Asterales,Asteraceae,Argyranthemum,Arbuste,0.5 à 1 mètre,Simple,Lancéolée,Denté,Alternée,"Blanc, rose, jaune",Capitule,Akène,Fasciculée,['- Ornemental: Utilisée dans les jardins pour ses fleurs attrayantes et sa longue période de floraison.']
